Zip,Num_farmersmarkets
10002,1
10003,2
10004,1
10005,1
10007,3
10009,2
10011,2
10014,1
10017,1
10018,1
10019,1
10023,1
10024,1
10025,3
10026,1
10027,4
10028,1
10029,4
10030,1
10031,2
10032,1
10033,1
10034,1
10036,1
10037,1
10112,1
10128,1
10301,1
10314,1
10451,1
10452,3
10453,1
10454,2
10455,3
10456,1
10457,2
10458,2
10459,1
10461,1
10463,3
10466,1
10467,3
10469,1
10470,1
10472,1
10474,1
10475,1
10509,1
10514,1
10516,2
10520,1
10522,1
10530,1
10538,1
10543,1
10549,1
10562,1
10566,1
10567,1
10570,2
10580,1
10591,2
10601,1
10606,1
10695,1
10701,1
10705,1
10706,2
10708,1
10801,2
10901,1
10918,1
10921,1
10924,1
10927,1
10928,1
10940,1
10950,1
10960,2
10964,1
10968,1
10969,1
10970,1
10977,1
10980,1
10987,1
10990,1
11003,1
11021,1
11040,1
11050,1
11101,1
11104,1
11106,2
11201,2
11203,2
11205,1
11206,2
11207,2
11208,2
11209,1
11211,3
11212,5
11213,1
11214,1
11215,4
11216,2
11217,1
11218,1
11219,1
11220,1
11221,2
11222,2
11224,1
11226,1
11231,1
11233,1
11235,1
11237,3
11238,1
11355,1
11365,1
11368,1
11372,1
11373,1
11375,1
11385,2
11432,2
11510,1
11520,1
11530,1
11550,1
11560,1
11561,2
11565,1
11566,1
11570,1
11575,1
11577,1
11590,1
11691,1
11692,2
11702,1
11713,2
11725,1
11729,1
11735,1
11743,1
11746,1
11751,1
11754,1
11767,1
11772,1
11776,1
11778,1
11783,1
11788,1
11798,1
11901,3
11937,1
11944,1
11946,1
11954,1
11963,1
12009,1
12010,1
12020,2
12027,1
12043,1
12047,3
12051,1
12054,2
12065,1
12074,1
12078,1
12095,1
12106,1
12108,1
12125,1
12134,1
12144,2
12164,1
12167,1
12180,17
12182,1
12186,1
12188,1
12202,2
12203,2
12204,2
12206,2
12207,3
12208,1
12209,1
12210,4
12211,1
12213,1
12304,3
12305,5
12306,1
12307,2
12309,1
12401,3
12455,1
12477,2
12501,2
12508,1
12525,1
12528,1
12529,1
12534,2
12538,1
12546,2
12547,1
12550,3
12561,1
12564,1
12565,1
12566,1
12572,2
12586,1
12601,1
12603,1
12701,1
12723,2
12754,1
12775,1
12783,1
12790,1
12801,2
12803,1
12804,1
12816,2
12817,1
12828,1
12831,1
12832,1
12834,1
12839,1
12850,1
12865,1
12866,2
12870,1
12883,1
12887,1
12901,1
12903,1
12932,1
12943,1
12944,1
12946,3
12953,1
12955,1
12970,1
12974,1
12983,3
12986,3
12996,1
13021,1
13032,1
13035,3
13040,1
13045,2
13066,1
13069,1
13073,1
13077,1
13090,1
13118,2
13121,1
13126,1
13142,2
13148,1
13152,1
13202,1
13205,1
13208,1
13219,1
13309,1
13317,1
13323,1
13326,1
13329,1
13339,1
13346,3
13350,1
13354,1
13357,1
13362,1
13365,1
13367,2
13368,1
13407,1
13408,1
13420,1
13421,1
13439,1
13440,1
13459,2
13461,1
13476,1
13480,1
13490,2
13491,1
13501,3
13601,2
13607,1
13613,1
13617,1
13618,1
13619,1
13634,1
13642,2
13646,1
13656,1
13662,3
13668,1
13669,3
13673,1
13676,7
13697,1
13743,1
13754,2
13778,1
13808,1
13815,2
13820,2
13827,2
13838,1
13850,1
13856,1
13901,2
13905,1
14004,1
14020,4
14031,1
14041,1
14048,1
14052,1
14063,2
14075,1
14080,1
14086,1
14094,1
14098,1
14103,2
14105,1
14120,2
14141,1
14202,1
14206,1
14211,2
14214,2
14215,2
14217,1
14219,1
14221,1
14222,1
14301,1
14411,3
14414,1
14418,2
14420,2
14424,2
14432,1
14437,1
14450,1
14454,1
14456,1
14464,1
14482,2
14485,1
14502,1
14510,1
14513,1
14514,1
14526,2
14527,2
14530,1
14546,1
14551,1
14564,1
14568,1
14569,1
14580,1
14590,1
14604,2
14605,8
14606,3
14607,4
14608,6
14609,4
14611,8
14612,2
14613,2
14615,1
14616,1
14617,1
14618,3
14619,1
14620,4
14621,6
14623,1
14626,1
14701,2
14709,1
14733,1
14737,1
14750,1
14760,2
14779,1
14787,1
14810,2
14813,1
14817,1
14830,1
14840,1
14843,1
14845,1
14850,4
14883,1
14886,1
14891,2
14892,1
14901,3
